Entity,Code,Year, (% of GDP)
Hungary,2006,8.09995208,
Hungary,2007,7.50953251,
Hungary,2008,7.32650666,
Hungary,2009,7.54933377,
Hungary,2010,7.85048555,
Hungary,2011,7.84003067,
Hungary,2012,7.74065817,
Hungary,2013,7.52727617,
Iceland,2003,10.07437408,
Iceland,2004,9.58713484,
Iceland,2005,9.20976024,
Iceland,2006,8.96470691,
Iceland,2007,8.75292103,
Iceland,2008,8.80337292,
Iceland,2009,9.12074545,
Iceland,2010,8.85548842,
Iceland,2011,8.65326311,
Iceland,2012,8.68327575,
Iceland,2013,8.75450051,
India,2003,4.29653759,
India,2004,4.22013959,
India,2005,4.28217471,
India,2006,4.24668128,
India,2007,4.22653116,
India,2008,4.33949245,
India,2009,4.37573742,
India,2010,4.27967981,
India,2011,4.33115071,
India,2012,4.389042,
India,2013,4.52911807,
Indonesia,2003,2.53372429,
Indonesia,2004,2.36774828,
Indonesia,2005,2.78958066,
Indonesia,2006,2.90514781,
Indonesia,2007,3.09844209,
Indonesia,2008,2.80594493,
Indonesia,2009,2.82545945,
Indonesia,2010,2.7406754,
Indonesia,2011,2.7131643,
Indonesia,2012,2.89787034,
Indonesia,2013,2.92591721,
Iran,2003,5.41582194,
Iran,2004,5.8876663,
Iran,2005,6.06355948,
Iran,2006,5.94523503,
Iran,2007,5.84412037,
Iran,2008,6.28314503,
Iran,2009,7.63154127,
Iran,2010,8.01924969,
Iran,2011,7.12442249,
Iran,2012,6.9838344,
Iran,2013,6.49275923,
Iraq,2003,4.36364226,
Iraq,2004,5.61200838,
Iraq,2005,4.13339428,
Iraq,2006,2.99905461,
Iraq,2007,3.69178171,
Iraq,2008,3.9279652,
Iraq,2009,4.64971686,
Iraq,2010,3.82046695,
Iraq,2011,3.31821307,
Iraq,2012,5.26411877,
Iraq,2013,5.9199233,
Ireland,2003,7.04763499,
Ireland,2004,7.33848733,
Ireland,2005,7.26683559,
Ireland,2006,7.22353538,
Ireland,2007,7.57001772,
